,ทะเบียนโรงงาน ,ชื่อโรงงาน ,newCode,facType,ISIC,TSIC,desc,add,tel
80,3-53(4)-2/35ปท ,บริษัท ไทยโฟม จำกัด ,กัด20130200225,53(4),2222,22220,ทำภาชนะบรรจุจากพลาสติก,25/2 ม.4ถ.เลียบคลองรังสิต ต.หลักหกอ.เมืองปทุมธานี จ.ปทุมธานี   12000,
81,3-51-1/39ปท ,บริษัท ไฮฮีโร่ จำกัด ,10130400125392,51,2211,22112,ผลิตยางนอกรถยนต์และจักรยานต์ยนต์ ,63 ม.5 ซ.วัดลำมหาเมฆถ.ลาดหลุมแก้ว-ไม้ตรา ต.บ่อเงินอ.ลาดหลุมแก้ว จ.ปทุมธานี   12140,
82,3-53(4)-2/43ปท ,บริษัท อีพีอี แพคเกจจื้ง (ประเทศไทย) จำกัด ,10130000225436,53(4),2222,22220,ผลิตภาชนะบรรจุจากกระดาษ โฟม พลาสติก,101/101-102 ม.20 ซ.นิคมอุตสาหกรรมนวนครถ.พหลโยธิน ต.คลองหนึ่งอ.คลองหลวง จ.ปทุมธานี   12120,02-9091717
83,3-56-17/48ปท ,บริษัท ไทยไล้ท์บล๊อคแอนด์แพเนล จำกัด ,10130001725483,56,2392,23921,ผลิตภัณฑ์คอนกรีตมวลเบา,59 ม.4ถ.สาย 347(กม.9) ต.เชียงรากน้อยอ.สามโคก จ.ปทุมธานี   12160,02-581-8555
84,3-105-75/48ปท ,บริษัท ปทุมรีไซเคิล จำกัด ,10130007525481,105,3821,38211,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) ล้างขวดแก้ว บดล้างพลาสติกและอัดเศษโลหะ,40 ม.5ถ. - ต.คูบางหลวงอ.ลาดหลุมแก้ว จ.ปทุมธานี   12140,
85,จ3-10(3)-6/55ปท ,บริษัท นิสชิน ฟูดส์ (ไทยแลนด์) จำกัด ,20130000625559,"13(2),53(4)",1074,10743,"ผลิตบะหมี่กึ่งสำเร็จรูป,เครื่องปรุงรส ขยายทำภาชนะบรรจุบะหมี่กึ่งสำเร็จรูป",83/43 ม.19 ต.คลองหนึ่งอ.คลองหลวง จ.ปทุมธานี   12120,02-5292610
86,3-56-13/55ปท ,บริษัท ไทยไล้ท์บล็อคแอนด์แพเนล จำกัด ,10130001325557,56,2392,23921,ผลิตอิฐมวลเบา,"โฉนดที่ดินเลขที่ 22964,31893 ม.4ถ.347 สามโคก-บางปะหัน ต.เชียงรากน้อยอ.สามโคก จ.ปทุมธานี   12160",02-199-3851-56
87,3-8(2)-1/29ปข ,ห้างหุ้นส่วนจำกัด อุตสาหกรรมผลไม้ปราณบุรี ,10770100125299,"8(1),8(2)",1030,10304,"ทำผลไม้กวน,ผลไม้บรรจุกระป๋อง,สับปะรดกระป๋อง และน้ำผลไม้บรรจุกระป๋อง",179/1 ม.7ถ.เขื่อนชลประทาน ต.หนองตาแต้มอ.ปราณบุรี จ.ประจวบคีรีขันธ์   77120,
88,ศ3-8(1)-1/35ปข ,บริษัท กุยบุรีผลไม้กระป๋อง จำกัด ,00770000125359,8(1),1030,10302,ผลิตสับปะรด น้ำสับปะรดบรรจุกระป๋องและน้ำสับปะรดเข้มข้น,1 ม.7ถ.เพชรเกษม-ยางชุม ต.กุยบุรีอ.กุยบุรี จ.ประจวบคีรีขันธ์   77150,032-681578-81
89,3-8(1)-16/49ปข ,บริษัท เนเชอรัล ฟรุต จำกัด ,10770001625496,"8(1),8(2)",1030,10302,ทำผักและผลไม้บรรจุกระป๋อง เช่น สับปะรด ว่านหางจรเข้และน้ำสับปะรดเข้มข้น,179/12 ม.11ถ.เพชรเกษม-บ้านหนองยิงหมี ต.หนองตาแต้มอ.ปราณบุรี จ.ประจวบคีรีขันธ์   77120,032-623-256
90,3-8(1)-14/49ปข ,บริษัท ควอลิตี้ ไพน์แอปเปิล โปรดักส์ จำกัด ,10770001425491,8(1),1030,10302,พืชผักและผลไม้บรรจุกระป๋อง น้ำผลไม้ สับปะรดกระป๋องและน้ำสับปะรดเข้มข้น,222 ม.3ถ.ชะอำ-ปราณบุรี ต.หินเหล็กไฟอ.หัวหิน จ.ประจวบคีรีขันธ์   77110,032-575288
91,3-8(1)-21/47ปข ,บริษัท สยามอโลเวล่า (2005) จำกัด ,10770002125470,8(1),1030,10302,ผลิตพืช ผักและผลไม้บรรจุกระป๋อง,179/13 ม.11ถ.หนองยิงหมี ต.หนองตาแต้มอ.ปราณบุรี จ.ประจวบคีรีขันธ์   77120,
92,3-102-1/48ปข ,บริษัท ทิปโก้ ไพน์แอปเปิ้ล จำกัด ,10770000125480,102,3530,35302,ผลิตไอน้ำ,212 ม.16ถ.เพชรเกษม ต.อ่าวน้อยอ.เมืองประจวบคีรีขันธ์ จ.ประจวบคีรีขันธ์   77000,032811224
93,3-8(2)-2/48ปข ,บริษัท อุตสาหกรรมผลไม้ปราณบุรี (2005) จำกัด ,10770000225488,8(2),1030,10304,ผลิตพืช ผัก และผลไม้อบแห้ง,179/10 ม.11ถ.ทางเข้าเขื่อนปราณบุรี ต.หนองตาแต้มอ.ปราณบุรี จ.ประจวบคีรีขันธ์   77120,
94,3-22(3)-1/35ปจ ,บริษัท เอสเอสดีซี(ไทเกอร์เท็กซ์) จำกัด ,10250000125350,22(3),1313,13131,ฟอกย้อม แต่งสำเร็จ ด้าย และผ้า,111 ม.5ถ.สุวรรณศร ต.นนทรีอ.กบินทร์บุรี จ.ปราจีนบุรี   25110,281930
95,3-38(2)-1/35ปจ ,บริษัท ยูไนเต็ด เปเปอร์ จำกัด (มหาชน) ,10250100125359,38(2),1701,17012,ผลิตกระดาษคราฟท์ ไม่มีการผลิตเยื่อกระดาษ กำลังการผลิตปีละ 60000 ตัน,61 ม.8ถ.ทางหลวงจังหวัดปราจีนบุรี-บ้านสร้าง 3071 ต.วัดโบสถ์อ.เมืองปราจีนบุรี จ.ปราจีนบุรี   25000,
96,ศ3-9(4)-1/36ปจ ,บริษัท แลคตาซอย จำกัด ,00250000125360,"5(1),9(4),20(3)",1061,10615,ผลิตน้ำนมถั่วเหลือง เดือนละ 500000 ลิตร น้ำอัดลม เดือนละ 250000 ลิตร และนมสด เดือนละ 120000 ลิตร,199 ม.12ถ.ฉะเชิงเทรา-กบินทร์บุรี ต.ศรีมหาโพธิอ.ศรีมหาโพธิ จ.ปราจีนบุรี   25140,037-207070
97,ข3-7(1)-1/44ปจ ,บริษัท พลังงานบริสุทธิ์ จำกัด (มหาชน) ,91120000125449,7(1),1049,10491,ผลิตน้ำมันปาล์มบริสุทธิ์และน้ำมันไบโอดีเซล,507 ม.9 ซ.เขตประกอบการอุตสาหกรรมกบินทร์บุรี ต.หนองกี่อ.กบินทร์บุรี จ.ปราจีนบุรี   25110,
98,3-38(2)-5/47ปจ ,บริษัท อินเตอร์แปซิฟิคเปเปอร์ จำกัด ,10250000525476,"38(2),88",1701,17012,ผลิตกระดาษคราฟท์,99 ม.4 ต.บางพลวงอ.บ้านสร้าง จ.ปราจีนบุรี   25150,"02-4543386-92 , 037-213333"
99,3-13(2)-5/53ปจ ,บริษัท ซันชาย ไบโอเทค อินเตอร์เนชั่นแนล จำกัด ,10250000525534,"13(2),58(1)",1077,10774,ทำกรดมะนาว (citric acid),188 ม.4ถ.- ต.ท่าตูมอ.ศรีมหาโพธิ จ.ปราจีนบุรี   25140,037-278806
100,3-9(6)-1/32อย ,บริษัท นครหลวง อินฟินนิทิเกรน จำกัด ,-,-,-,-,-,-,-
101,3-15(1)-1/29อย ,บริษัท แหลมทองเกษตรภัณฑ์ จำกัด ,10140300125293,15(1),1080,10801,ผลิตอาหารสัตว์,91ถ.ท่าเรือ-พระพุทธบาท ต.ท่าเรืออ.ท่าเรือ จ.พระนครศรีอยุธยา   13130,035-341097
102,3-39-1/32อย ,บริษัท บางไทรอุตสาหกรรม จำกัด ,10140400125326,39,1702,17020,ผลิตกล่องกระดาษ,15/2 ม.6ถ.สามโคก-เสนา ต.ไม้ตราอ.บางไทร จ.พระนครศรีอยุธยา   13190,371068
103,3-19(2)-1/37อย ,บริษัท เบียร์ทิพย์ บริวเวอรี่ (1991) จำกัด ,10140100125378,19(2),1103,11030,ผลิตเบียร์ ประมาณปีละ 700 ล้านลิตร น้ำดื่ม ประมาณปีละ 200 ล้านลิตร และน้ำโซดา ประมาณปีละ 100 ล้านลิตร,68 ม.2ถ.อยุธยา-เสนา ต.น้ำเต้าอ.บางบาล จ.พระนครศรีอยุธยา   13250,035-276200-9
104,3-38(1)-1/36อย ,บริษัท ปัญจพล พัลพ อินดัสตรี้ จำกัด(มหาชน) ,10140200125369,38(1),1629,16292,ผลิตเยื่อกระดาษคราฟท์ กำลังการผลิต 275 ตัน/วัน,51/1 ม.3 ต.ห่อหมกอ.บางไทร จ.พระนครศรีอยุธยา   13190,035-201997
105,3-26(1)-1/37อย ,บริษัท เชือกและอวนสยาม จำกัด ,10140200125377,26(1),1394,13940,ผลิตเชือก ด้าย กำลังการผลิตได้เดือนละ 330 ตัน,26/1 ม.3ถ.สามโคก-เสนา ต.โคกช้างอ.บางไทร จ.พระนครศรีอยุธยา   13190,
106,3-42(1)-1/36อย ,บริษัท พรวิไลอินเตอร์เนชั่นแนล กรุพ เทรดดิ้ง จำกัด ,ัด101403001253,42(1),2011,20113,ผลิตกรดส้มจากมันสำปะหลัง ได้ปีละ 4000 ตัน และผลิตผลเกษตรกรรม,55/5 ม.1ถ.ท่าเรือ-วังแดง ต.ศาลาลอยอ.ท่าเรือ จ.พระนครศรีอยุธยา   13130,341975
107,3-39-1/41อย ,บริษัท อุตสาหกรรมกล่องสยาม จำกัด ,10140600125415,39,1702,17020,ผลิตกล่องกระดาษลูกฟูก และกระดาษลูกฟูก,8/4 ม.3ถ.สายเอเซีย ต.ขยายอ.บางปะหัน จ.พระนครศรีอยุธยา   13220,"035-200993, 0863758893"
108,3-66-1/40อย ,บริษัท สยามบราเดอร์เน็ต จำกัด ,10141000125401,66,2821,28219,ซ่อมและผลิต,26/8 ม.4ถ.สามโคก-เสนา ต.โคกช้างอ.บางไทร จ.พระนครศรีอยุธยา   13190,02-9788440-02-9788595-6
109,3-53(4)-31/47อย ,บริษัท วิงฟง แอดฮีซีฟ แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด ,ัด101400031254,53(4),2222,22220,ผลิตชิ้นส่วนผลิตภัณฑ์จากโฟม และโฟมบรรจุภัณฑ์,10 ม.2ถ.พหลโยธิน ต.ลำไทรอ.วังน้อย จ.พระนครศรีอยุธยา   13170,035-287491-494
110,3-87(7)-1/38อย ,บริษัท แก้วกรุงไทย จำกัด ,10140300125384,87(7),3290,32909,บดแก้ว,8 ม.2ถ.พหลโยธิน ต.ลำไทรอ.วังน้อย จ.พระนครศรีอยุธยา   13170,035-287101-3
111,จ3-1-1/44พย ,สถานีบ่มใบยาสะแล่ง(วังดิน)  ,20560000125442,1,1200,12001,บ่มใบยาสูบ,300 ม.5ถ.เชียงคำ-เทิง ต.เชียงแรงอ.ภูซาง จ.พะเยา   56110,081-9924741
112,จ3-1-1/42พย ,สถานีบ่มใบยาดอนไชยป่าแขม ,ขม205600001254,1,1200,12001,บ่มใบยาสูบ,ม.3 ต.ออยอ.ปง จ.พะเยา   56140,
113,3-1-1/31พย ,ถานีบ่มใบยาสูบสันกลาง ,0560000125311 ,1,1200,12001,บ่มใบยาสูบ,92 ม.17 ต.งิมอ.ปง จ.พะเยา   56140,
114,3-52(4)-1/32รย ,บริษัท ซันไทยอุตสาหกรรมถุงมือยาง จำกัด ,10210300125328,52(4),2219,22199,ทำถุงมือยาง,9 ม.  4ถ.หาดใหญ่-จันดี ต.กะเฉดอ.เมืองระยอง จ.ระยอง   21100,613914
115,น.88(2)-1/2552-ญนพ,บริษัท โกลว์ พลังงาน จำกัด (มหาชน) ,72070100125521,"88,88(2)",3510,35101,ผลิตกระแสไฟฟ้า(โรงไฟฟ้าก๊าซธรรมชาติขนาดกำลังการผลิต77MWและขนาดกำลังการผลิต401MWและโรงไฟฟ้าถ่านหินขนาดกำลังการผลิต120MW)ไอน้ำและน้ำเพื่อการอุตสาหกรรม,11ถ.ไอ-5 ต.มาบตาพุดอ.เมืองระยอง จ.ระยอง   21150,
116,3-13(2)-1/15รบ ,บริษัท ราชาชูรส จำกัด ,10700000125156,13(2),1077,10774,ผลิตผงชูรส,15 ม.17ถ.แสงชูโต ต.ท่าผาอ.บ้านโป่ง จ.ราชบุรี   70110,032-211331
117,3-38(2)-1/12รบ ,บริษัท สยามคราฟท์อุตสาหกรรม จำกัด ,10700000125123,"38(2),88",1701,17012,"ผลิตกระดาษเหนียวและผลิตภัณฑ์กระดาษ กำลังการผลิต 9,000 ตัน/เดือน",19 ม.19ถ.แสงชูโต ต.ท่าผาอ.บ้านโป่ง จ.ราชบุรี   70110,211387
118,ส3-10(3)-1/33รบ ,บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน) ,00700300125338,10(3),1074,10743,"ผลิตเส้นหมี่,ก๋วยเตี๋ยว,ก๋วยจั๊บกึ่งสำเร็จรูป",115 ม.15ถ.ทรงพล ต.ปากแรตอ.บ้านโป่ง จ.ราชบุรี   70110,201503-4
119,ศ3-8(2)-2/34รบ ,บริษัท คิวพี (ประเทศไทย) จำกัด ,00700000225347,"4(2),4(5),4(7),8(1),8(2),13(2),92",1030,10304,ผลิตผักอบแห้ง เครื่องปรุงรสอาหาร อาหารกระป๋องและอาหารแช่แข็ง,55 ม.6ถ.- ต.หลุมดินอ.เมืองราชบุรี จ.ราชบุรี   70000,(032)312903-5
120,ศ3-10(3)-1/34รบ ,บริษัท นาเชา (ประเทศไทย) จำกัด ,-,-,-,-,-,-,-
121,ศ3-42(1)-1/36รบ ,บริษัท ศักดิ์ศรีอุตสาหกรรม จำกัด,63 [ศ3-42(1)-1,42(1),2011,20113,ผลิตกรดกำมะถัน สารส้มชนิดอลูมิเนียมซัลเฟต และอลูมิเนียมแอมโมเนียมซัลเฟต โพลี่อลูมิเนียมคลอไรด์ กำมะถันแท่งและกำมะถันผง,151 ม.10ถ.หนองแช่เสา ต.หินกองอ.เมืองราชบุรี จ.ราชบุรี   70000,
122,ศ3-8(1)-1/35รบ ,บริษัท ฮาร์โมนี่ อะกริ บิสสิเนส จำกัด ,-,-,-,-,-,-,-
123,3-22(3)-2/35รบ ,บริษัท โกลเด้นเธร็ด จำกัด ,10700100225351,22(3),1313,13131,ย้อมเส้นด้าย,109 ม.3ถ.เพชรเกษม ต.ดอนกระเบื้องอ.บ้านโป่ง จ.ราชบุรี   70110,299235
124,3-22(3)-4/35รบ ,บริษัท เอส วี เอ็ม เท็กซ์ไทล์ จำกัด ,ด1070010042535,22(3),1313,13131,ฟอกย้อมเส้นด้าย และผ้า,231 ม.3ถ.พิกุลทอง ต.โคกหม้ออ.เมืองราชบุรี จ.ราชบุรี   70000,
125,3-22(3)-1/37รบ ,บริษัท สิ่งทอซาติน จำกัด ,10700100125379,"22(1),22(2),22(3),22(4),23(1),23(4),25,26(1),26(2)",1313,13131,กรอด้าย ทอผ้า ฟอกย้อม พิมพ์ผ้าและเย็บผ้าม่าน การทำผลิตภัณฑ์จากสิ่งทอ,60 ม.10 ซ. วัดเตาอิฐถ.สุขาภิบาลเตาอิฐ ต.วังเย็นอ.บางแพ จ.ราชบุรี   70160,032-389187
126,3-22(3)-2/37รบ ,บริษัท เอฟเวอเรสท์ เท็กซ์ไทล์(ประเทศไทย)จำกัด ,10700100225377,"22(2),22(3),22(4)",1313,13131,"ฟอกย้อมผ้า เส้นด้าย และพิมพ์ผ้า ได้ปีละ 5,760,000 หลา",49 ม.  1ถ.ตลาดนัดวัดสร้อยฟ้า ต.บ้านม่วงอ.บ้านโป่ง จ.ราชบุรี   70110,
127,3-9(2)-10/49รบ ,บริษัท อุตสาหกรรมแป้งมันบ้านโป่ง จำกัด ,10700001025496,"9(2),9(5)",1061,10612,ผลิตแป้งมันสำปะหลังดัดแปร (Modified Starch),109 ม.4ถ.เขางู-เบิกไพร ต.เบิกไพรอ.บ้านโป่ง จ.ราชบุรี   70110,
128,3-44-1/36รบ ,บริษัท เจียมพัฒนาซินเธทิคไฟเบอร์ จำกัด ,10700200125360,44,2013,20131,"ผลิตเส้นใยสังเคราะห์ ได้ 36,000 ตันต่อปี (ผลิต Polyester chip, Polyester Yarn และ Polyester staple Fiber อย่างละ 12,000 ตันต่อปี)",25/1 ม.6ถ.เพชรเกษม ต.ดอนกระเบื้องอ.โพธาราม จ.ราชบุรี   70120,032-389078
129,3-15(1)-1/40รบ ,บริษัท เอส พี เอ็ม อาหารสัตว์ จำกัด ,10700200125402,15(1),1080,10801,ผลิตอาหารสัตว์สำเร็จรูปสำหรับเลี้ยงสัตว์,125 ม.8ถ.- ต.ดอนทรายอ.ปากท่อ จ.ราชบุรี   70140,032-303005-8
130,ส3-86-1/33รบ ,บริษัท ฮาร์สันสปอร์ต จำกัด ,00700500125336,86,3230,32309,ผลิตลูกฟุตบอล ลูกบาสเก็ตบอล และลูกวอลเลย์บอล,160/3 ม.2ถ.เพชรเกษม ต.หนองโพอ.โพธาราม จ.ราชบุรี   70120,032-389241
131,3-8(1)-9/47รบ ,บริษัท ไทย โคโคนัท จำกัด (มหาชน) ,10700000925472,"8(1),8(2)",1030,10302,การทำอาหารหรือเครื่องดื่มจากผัก พืช หรือผลไม้และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้ การถนอมผัก พืช หรือผลไม้ โดยวิธีกวนตากแห้ง ดองหรือทำให้เยือกแข็งโดยฉับพลัน หรือเหือดแห้ง ผลิตผลิตภัณฑ์น้ำกะทิและมะพร้าวอบแห้ง,67 ม.1ถ.- ต.หนองกลางนาอ.เมืองราชบุรี จ.ราชบุรี   70000,
132,จ3-22(4)-1/37รบ ,บริษัท เอส.ที.พิมพ์ย้อม จำกัด ,20700100125377,22(4),1313,13132,พิมพ์ผ้า ย้อมผ้าและฟอกผ้า,182/1 ม.1ถ.เพชรเกษม ต.บ่อกระดานอ.ปากท่อ จ.ราชบุรี   70140,
133,จ3-58(1)-3/39รบ ,บริษัท อินทรี ซุปเปอร์บล๊อก จำกัด ,20700000325390,58(1),2395,23953,"ผลิตภัณฑ์คอนกรีต เช่น เสาไฟฟ้าอัดแรง,คอนสปัน,เสาเข็มอัดแรง, พื้นสำเร็จรูป,ผนังสำเร็จรูป",46/2 ม.9 ต.หินกองอ.เมืองราชบุรี จ.ราชบุรี   70000,032-373208-10
134,3-10(3)-4/49รบ ,บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน) ,10700000425499,10(3),1074,10743,ทำผลิตภัณฑ์อาหารกึ่งสำเร็จรูปจากแป้ง เช่น เส้นหมี่ ก๋วยเตี๋ยว ก๋วยจั๊บ โจ๊ก ธัญพืช ซุป ข้าวผัด ข้าวต้ม,158 ม.15ถ.ทรงพล ต.ปากแรตอ.บ้านโป่ง จ.ราชบุรี   70110,032-342658
135,น.87(4)-1/2549-นรบ. ,บริษัท เอ็ม. ไอ. ที. โกล์ด จำกัด ,82260100125492,22(3),3290,32901,"ผลิตซิป-หัวซิปทุกประเภท,ย้อมผ้า-ด้าย,ทอสายกระเป๋า-ยางยืด-BELTและหัวเข็มขัด",155/53 ม.4 ต.ดอนทรายอ.โพธาราม จ.ราชบุรี   70120,032375845-6
136,3-17-3/49รบ ,บริษัท กรุงเทพ อุตสาหกรรม แอลกอฮอล์ จำกัด ,10700000325491,17,2011,20114,ผลิตเอทิลแอลกอฮอล์และผลิตเอทานอลเพื่อใช้เป็นเชื้อเพลิง กำลังการผลิต 30000 ลิตรต่อวัน,88/8 ม.7ถ.เขาช้าง - หนองโป่ง ต.ทุ่งหลวงอ.ปากท่อ จ.ราชบุรี   70140,
137,3-15(1)-1/29ลบ ,โรงงานอาหารสัตว์พัฒนานิคม,10160000125294,15(1),1080,10801,ผลิตอาหารสัตว์,252 ม.9ถ.สาย 2 ซ้าย ต.พัฒนานิคมอ.พัฒนานิคม จ.ลพบุรี   15140,036-491330-1
138,ส3-15(1)-1/34ลบ ,บริษัท เบทาโกร จำกัด (มหาชน) ,00160200125344,"15(1),15(2)",1080,10801,ผลิตอาหารสัตว์ผสมสำเร็จรูป และส่วนผสมอาหารสัตว์ สำหรบสัตว์น้ำ,3 ม.13 ซ.พัฒนานิคม 2ถ.สระบุรี-หล่มสัก ต.ช่องสาริกาอ.พัฒนานิคม จ.ลพบุรี   15220,036-638277-80
139,ศ3-4(1)-1/35ลบ ,บริษัท สหฟาร์ม จำกัด ,00160000125353,"4(1),4(2),4(6),92",1011,10111,ฆ่าไก่ ชำแหละ และห้องเย็นแช่แข็ง,99 ม.5 ซ.กม.ที่ 54-55ถ.สระบุรี-หล่มสัก ต.ห้วยหินอ.ชัยบาดาล จ.ลพบุรี   15130,
140,3-4(1)-1/36ลบ ,บริษัท บี.ฟู้ดส์ โปรดักส์ อินเตอร์เนชั่นแนล จำกัด ,10160100125368,4(1),1011,10111,การฆ่าสัตว์และชำแหละไก่ ปรุงสุกไก่ย่างเสียบไม้,39 ม.5ถ.สระบุรี-หล่มสัก ต.ช่องสาริกาอ.พัฒนานิคม จ.ลพบุรี   15220,036-436333-47
141,ศ3-15(1)-2/36ลบ ,โรงงาน นารายณ์อาหารสัตว์ ,00160000225369,15(1),1080,10801,ผลิตอาหารสัตว์ กำลังการปละต 300 ตัน/วัน,43 ม.2 ซ. สระบุรี-หล่มสักถ.สระบุรี - หล่มสัก ต.นิคมลำนารายณ์อ.ชัยบาดาล จ.ลพบุรี   15130,
142,3-56-1/38ลบ ,บริษัท เฌอร่า จำกัด (มหาชน) ,10160300125382,56,2392,23921,ผลิตวัสดุซีเมนต์คอมโพสิทธ์ เสริมแรงด้วยเส้นใย ขยายในส่วนผลิตพลังงานไฟฟ้าใช้พลังงานแสงอาทิตย์ขนาดกำลังผลิต 9.98 เมกะวัตต์ เพื่อใช้ในโรงงานเท่านั้น,59 ม.12ถ.สระบุรี-หล่มสัก กม.16 ต.ช่องสาริกาอ.พัฒนานิคม จ.ลพบุรี   15220,01-334-0356
143,3-4(3)-1/43ลบ ,บริษัท ผลิตภัณฑ์อาหารเพื่อสุขภาพ จำกัด ,10160000125435,4(3),1013,10139,ทำลูกชิ้น ไส้กรอก,219 ม.8ถ.สระบุรี - หล่มสัก ต.ห้วยหินอ.ชัยบาดาล จ.ลพบุรี   15130,036-643222
144,3-33-2/40ลบ ,บริษัท เพอร์ฟอร์แมนซ์ รับเบอร์ จำกัด ,10160000225409,33,1520,15202,ทำพื้นรองเท้า,17/22 ม.7 ซ.สุขาภิบาล 6ถ.หนองม่วง-บ้านซอนสารเดช ต.หนองม่วงอ.หนองม่วง จ.ลพบุรี   15170,
145,3-15(1)-7/48ลบ ,บริษัท เบทาโกร จำกัด (มหาชน) ,10160000725481,"15(1),15(2)",1080,10801,ผลิตอาหารสัตว์สำเร็จรูป และส่วนผสมอาหารสัตว์,3/1 ม.13ถ.สระบุรี-หล่มสัก ต.ช่องสาริกาอ.พัฒนานิคม จ.ลพบุรี   15220,036-638639-43
146,3-4(3)-2/43ลบ ,บริษัท สหอินเตอร์ฟู้ดส์ จำกัด,3 [3-4(3)-2/43,4(3),1013,10139,ทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ เช่น ไก่ย่าง ไก่ทอด ไก่คลุกแป้ง,99/99 ม.8ถ.สระบุรี-หล่มสัก ต.ห้วยหินอ.ชัยบาดาล จ.ลพบุรี   15130,036-643222
147,3-9(2)-9/49ลบ ,บริษัท คิงส์ สตาร์ช จำกัด ,0160000925495 ,9(2),1061,10612,ผลิตแป้งข้าวโพดและแป้งจากธัญพืช,60 ม.6 ซ.27ถ.- ต.หนองบัวอ.พัฒนานิคม จ.ลพบุรี   15140,
148,3-4(3)-3/49ลบ ,บริษัท ซีโนสยามไบโอเทคนิค จำกัด ,10160000325498,4(3),1013,10139,ผลิตวัตถุดิบสำหรับอาหารเสริม,69/5 ม.1ถ.ทางหลวงแผ่นดินหมายเลข 21 ต.ช่องสาริกาอ.พัฒนานิคม จ.ลพบุรี   15220,05-9090707
149,3-51-1/13ลพ ,ห้างหุ้นส่วนจำกัด สหสายเหนือหล่อยาง,10510000125134,51,2211,22112,หล่อดอกยางรถยนต์,56-59 ม.2ถ.ซุปเปอร์ไฮเวย์เชียงใหม่-ลำปาง ต.ป่าสักอ.เมืองลำพูน จ.ลำพูน   51000,581972-3
150,3-15(2)-1/40ลพ ,บริษัท ฟีเตอร์ อินเตอร์ โปรดักส์ จำกัด ,10510000125407,15(2),1029,10294,ผลิตขนไก่ป่น,262 ม.6 ต.ทาสบเส้าอ.แม่ทา จ.ลำพูน   51140,
151,3-39-2/46ลพ ,บริษัท ซี.เค. คาร์ตันส์ จำกัด ,10510000225462,39,1702,17020,ผลิตกล่องกระดาษลูกฟูก,319 ม.8ถ.เชียงใหม่-ลำปาง ต.อุโมงค์อ.เมืองลำพูน จ.ลำพูน   51150,
152,จ3-22(3)-1/46ลพ ,บริษัท วี.เอส.ดี.สายไทย จำกัด ,20510200125460,22(3),1313,13131,ฟอกย้อมผลิตภัณฑ์สิ่งทอ,174 ม.5ถ.- ต.บ้านธิอ.บ้านธิ จ.ลำพูน   51180,
153,3-52(4)-1/32สข ,บริษัท ไฮแคร์ อินเตอร์เนชั่นแนล จำกัด ,ัด (มหาชน)0090,52(4),2219,22199,ผลิตถุงมือยาง,110ถ.กาญจนวณิช ต.พะตงอ.หาดใหญ่ จ.สงขลา   90230,291648
154,ศ3-15(2)-1/36สข ,บริษัท จะนะอุตสาหกรรมประมง จำกัด ,00900000125360,15(2),1029,10294,ทำปลาป่น,200 ม.11ถ.สงขลา-นาทวี ต.จะโหนงอ.จะนะ จ.สงขลา   90130,
155,3-22(2)-30/15สป ,บริษัท ศิลปเสนีพาณิชย์ จำกัด ,-,-,-,-,-,-,-
156,3-22(2)-6/23สป ,บริษัท โรงงานผ้าไทย จำกัด (มหาชน) ,10110000625231,"22(1),22(2),22(3),24",1311,13111,ฟอกย้อม ทอผ้าทุกชนิด จำนวนเครื่องทอ 1096 เครื่องและถักผ้ายืด จำนวนเครื่องถัก 39 เครื่อง,385 ม.1 ซ.บางเมฆขาวถ.สุขุมวิท ต.ท้ายบ้านอ.เมืองสมุทรปราการ จ.สมุทรปราการ   10280,3950066
157,3-13(4)-2/13สป ,บริษัท ไทยเทพรส จำกัด (มหาชน) ,10110000225131,"13(2),13(4)",1079,10799,"ทำน้ำซอส น้ำส้มสายชู ซอสพริก ซอสมะเขือเทศ ซอสหอยนางรม ซอสผง ซอสปรุงรส ซีอิ๊วและเต้าเจี้ยว ได้เดือนบะ 1,715,000 ลิตร",208 ม.6ถ.ท้ายบ้าน ต.ท้ายบ้านอ.เมืองสมุทรปราการ จ.สมุทรปราการ   10280,02-7034444
158,3-15(1)-1/18สป ,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน) ,10110200125180,15(1),1080,10801,ทำอาหารสัตว์,57 ม.1ถ.บางนา-ตราด ต.ศีรษะจรเข้ใหญ่อ.บางเสาธง จ.สมุทรปราการ   10540,3128333
